Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,3120973623,12/9/2025 18:19,12/9/2025 23:50,EURUSD,Buy,2.58,0,0,1.1638,1.16287,-15.01,0,-9.3,-254.95,-0.19,Strategy_0_3146987Strategy_0_3146987,2013,00:05:30:18,0,0s,17.5,17.51,0,0,-17.5,-451.5,0,46.9,-9.3,-239.94
,3120943235,12/9/2025 16:30,12/9/2025 23:50,EURUSD,Buy,2.1,0,0,1.16321,1.16287,-12.22,0,-3.4,-83.62,-0.06,Strategy_0_2190562Strategy_0_2190562,2006,00:07:19:48,8.1,35m,19.5,2.2,6.1,128.1,-13.4,-281.4,31.3,51.3,-9.5,-199.5
,3120542476,12/5/2025 19:26,12/5/2025 23:50,EURUSD,Sell,1,0,0,1.16365,1.16425,-5.82,0,-6,-65.82,-0.05,Strategy_0_633702Strategy_0_633702,2025,00:04:23:42,0,0s,8.2,8.2,0,0,-8.2,-82,0,26.8,-6,-60
,3120403092,12/5/2025 10:22,12/5/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.67,4196.9,-2.11,0,-2977,-299.81,-0.23,Strategy_0_49762Strategy_0_49762,1005,00:13:27:58,35.7,4h 48m,5811,0.88,3086,308.6,-2725,-272.5,53.1,4.3,-6063,-606.3
,3120389965,12/5/2025 9:00,12/5/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.7,4196.9,-2.11,0,-2980,-300.11,-0.23,Strategy_0_127373Strategy_0_127373,1016,00:14:49:37,32.4,4h 48m,5811,0.88,3083,308.3,-2728,-272.8,53.1,4.3,-6063,-606.3
,3120371591,12/5/2025 8:09,12/5/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.79,4196.9,-2.11,0,-2989,-301.01,-0.23,Strategy_0_38261Strategy_0_38261,1006,00:15:40:54,30.5,4h 46m,5811,0.89,3074,307.4,-2737,-273.7,52.9,4.3,-6063,-606.3
,3120368321,12/5/2025 8:09,12/5/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.79,4196.9,-2.11,0,-2989,-301.01,-0.23,Strategy_0_59046Strategy_0_59046,1009,00:15:40:54,30.5,4h 46m,5811,0.89,3074,307.4,-2737,-273.7,52.9,4.3,-6063,-606.3
,3120354414,12/5/2025 8:09,12/5/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.79,4196.9,-2.11,0,-2989,-301.01,-0.23,Strategy_0_41868Strategy_0_41868,1010,00:15:40:54,30.5,4h 46m,5811,0.89,3074,307.4,-2737,-273.7,52.9,4.3,-6063,-606.3
,3120397850,12/5/2025 10:05,12/5/2025 16:50,XAUUSD,Buy,0.1,0,4245.02,4226.72,4245.19,-2.12,0,1847,182.58,0.14,Strategy_0_281222[tp 4245.02],1008,00:06:44:42,58.8,3h 57m,2055,0.19,3081,308.1,-577,-57.7,84.2,66.3,-1234,-123.4
,3120345898,12/5/2025 9:11,12/5/2025 15:30,EURUSD,Buy,1,0,0,1.16651,1.1649,-5.83,0,-16.1,-166.83,-0.13,Strategy_0_2355550,2033,00:06:19:07,0,0s,23.5,23.53,0,0,-23.5,-235,0,31.5,-16.1,-161
,3120027206,12/3/2025 17:33,12/3/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.69,4205.99,-2.11,0,-2070,-209.11,-0.16,Strategy_0_41868Strategy_0_41868,1010,00:06:16:40,0,0s,2976,3333.33,0,0,-2976,-297.6,0,30.4,-2070,-207
,3120002085,12/3/2025 16:30,12/3/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.74,4205.99,-2.11,0,-2075,-209.61,-0.16,Strategy_0_127373Strategy_0_127373,1016,00:07:19:16,0,0s,2981,3333.33,0,0,-2981,-298.1,0,30.4,-2075,-207.5
